dataset,seed,rank,model,cv_score,ensemble_score
raisins_class,0,1,svc_rbf_standard,0.8652777777777777,0.8944444444444445
raisins_class,0,2,lgbm_200_extra_trees,0.8625,0.8944444444444445
raisins_class,0,3,svc_rbf_loose,0.8625,0.8944444444444445
raisins_class,0,4,svc_rbf_tight,0.8625,0.8944444444444445
raisins_class,0,5,logreg_l1_selection,0.8583333333333334,0.8944444444444445
raisins_class,42,1,cat_150_deep,0.8694444444444445,0.8833333333333333
raisins_class,42,2,logreg_l2_strong,0.8680555555555557,0.8833333333333333
raisins_class,42,3,xgb_200_subsample,0.8680555555555556,0.8833333333333333
raisins_class,42,4,svc_rbf_tight,0.8680555555555556,0.8833333333333333
raisins_class,42,5,cat_500_very_slow,0.8666666666666668,0.8833333333333333
raisins_class,123,1,svc_rbf_tight,0.8708333333333333,0.8611111111111112
raisins_class,123,2,xgb_50_fast,0.8666666666666666,0.8611111111111112
raisins_class,123,3,xgb_200_deep_slow,0.8666666666666666,0.8611111111111112
raisins_class,123,4,logreg_l2_strong,0.8652777777777778,0.8611111111111112
raisins_class,123,5,logreg_l1_selection,0.8638888888888889,0.8611111111111112
raisins_class,2023,1,lgbm_200_extra_trees,0.8805555555555555,0.8388888888888888
raisins_class,2023,2,xgb_200_subsample,0.8777777777777777,0.8388888888888888
raisins_class,2023,3,cat_300_slow,0.8763888888888889,0.8388888888888888
raisins_class,2023,4,svc_linear,0.875,0.8388888888888888
raisins_class,2023,5,cat_150_deep,0.8736111111111112,0.8388888888888888
raisins_class,999,1,svc_linear,0.8763888888888889,0.8611111111111112
raisins_class,999,2,logreg_l1_selection,0.8722222222222221,0.8611111111111112
raisins_class,999,3,svc_rbf_tight,0.8722222222222221,0.8611111111111112
raisins_class,999,4,knn_20_distance,0.8722222222222221,0.8611111111111112
raisins_class,999,5,logreg_l2_standard,0.8694444444444445,0.8611111111111112
med_mort30,0,1,logreg_l2_strong,0.8621782083383472,0.8557890222984563
med_mort30,0,2,logreg_l1_selection,0.8616637021003817,0.8557890222984563
med_mort30,0,3,logreg_l2_standard,0.86157797556802,0.8557890222984563
med_mort30,0,4,svc_linear,0.8376402117724732,0.8557890222984563
med_mort30,0,5,lgbm_300_dart_slow,0.794844109070225,0.8557890222984563
med_mort30,42,1,svc_linear,0.8278617103758432,0.8100057175528874
med_mort30,42,2,logreg_l2_standard,0.8232212912716192,0.8100057175528874
med_mort30,42,3,logreg_l1_selection,0.8232212912716192,0.8100057175528874
med_mort30,42,4,logreg_l2_strong,0.8225352952079815,0.8100057175528874
med_mort30,42,5,lgbm_300_dart_slow,0.7739480862699408,0.8100057175528874
med_mort30,123,1,logreg_l2_strong,0.8650469706895153,0.7323327615780446
med_mort30,123,2,logreg_l2_standard,0.8538072697798615,0.7323327615780446
med_mort30,123,3,logreg_l1_selection,0.85354997989993,0.7323327615780446
med_mort30,123,4,svc_linear,0.8401236826203465,0.7323327615780446
med_mort30,123,5,lgbm_300_dart_slow,0.8068091149344131,0.7323327615780446
med_mort30,2023,1,logreg_l1_selection,0.8400271557212575,0.8127501429388222
med_mort30,2023,2,logreg_l2_standard,0.8399414108084213,0.8127501429388222
med_mort30,2023,3,logreg_l2_strong,0.8395126494832921,0.8127501429388222
med_mort30,2023,4,lgbm_200_slow_small,0.8263336051192807,0.8127501429388222
med_mort30,2023,5,svc_linear,0.825611246759012,0.8127501429388222
med_mort30,999,1,logreg_l1_selection,0.8618699085575485,0.7683390508862207
med_mort30,999,2,logreg_l2_standard,0.8618698901770742,0.7683390508862207
med_mort30,999,3,logreg_l2_strong,0.8616556289875927,0.7683390508862207
med_mort30,999,4,svc_linear,0.8446702836989456,0.7683390508862207
med_mort30,999,5,lgbm_300_dart_slow,0.8398888965678427,0.7683390508862207
income_50k,0,1,lgbm_200_mid,0.8455870960025218,0.8454987765386505
income_50k,0,2,lgbm_200_reg_l1,0.8452183505322723,0.8454987765386505
income_50k,0,3,lgbm_100_standard,0.8448909430210246,0.8454987765386505
income_50k,0,4,lgbm_200_reg_l2,0.8446752182126506,0.8454987765386505
income_50k,0,5,lgbm_100_feature_fraction,0.8444015551074399,0.8454987765386505
income_50k,42,1,lgbm_100_feature_fraction,0.844059929188879,0.845744378445249
income_50k,42,2,lgbm_100_leaves15,0.843784591948378,0.845744378445249
income_50k,42,3,lgbm_100_standard,0.8436440052435433,0.845744378445249
income_50k,42,4,lgbm_200_reg_l1,0.8433059258485625,0.845744378445249
income_50k,42,5,lgbm_200_reg_l2,0.8431022354827629,0.845744378445249
income_50k,123,1,lgbm_100_leaves15,0.8438204089193219,0.8475974789419106
income_50k,123,2,lgbm_100_feature_fraction,0.8432565557477398,0.8475974789419106
income_50k,123,3,lgbm_200_mid,0.8431277621656786,0.8475974789419106
income_50k,123,4,lgbm_100_standard,0.842676393112221,0.8475974789419106
income_50k,123,5,lgbm_200_reg_l1,0.8421988626184618,0.8475974789419106
income_50k,2023,1,lgbm_100_feature_fraction,0.8449050859642,0.839993200465734
income_50k,2023,2,lgbm_200_reg_l2,0.8445020782180354,0.839993200465734
income_50k,2023,3,lgbm_200_reg_l1,0.844463297155996,0.839993200465734
income_50k,2023,4,lgbm_100_leaves15,0.844184489250661,0.839993200465734
income_50k,2023,5,lgbm_100_standard,0.8441525647374089,0.839993200465734
